% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1962 +2.143771890e+03 +2.143771890e+03 +3.143771890e+03 +3.143771890e+03 -8.7459e-02 +2.2211e+00 +7.3573e-01 +1.3016e+00 +7.5358e-01 +6.6090e-01 -7.5697e-01 +6.6162e-01 +2.1704e-01 -5.3816e-01 -4.2524e-01 +4.4512e-02 +1.0171e-01 +3.2162e-01 -8.2743e-01 -2.3147e+00 -9.6190e-01 -1.9813e+00 -4.9947e-01 +2.7167e+00
2320 +4.877579472e+02 +4.877579472e+02 +1.487757947e+03 +1.487757947e+03 -2.4035e+00 +2.5977e+00 +8.6064e-01 -9.5070e-01 -2.6778e+00 -1.4301e+00 -2.6660e+00 -9.5899e-01 -1.1368e+00 +9.2574e-01 -3.7551e-01 -2.6801e+00 +4.0215e-01 -9.2710e-01 -4.5805e-01 -1.8537e+00 -7.5522e-01 -1.5888e+00 -1.3390e+00 +1.0874e+00
3252 +9.848031905e+00 +9.848031905e+00 +1.009848032e+03 +1.009848032e+03 -1.5685e+00 +1.3837e+00 -1.2575e+00 +4.6672e-03 -4.0462e-01 -5.5310e-01 -6.8262e-01 +2.4080e-01 -3.7549e-01 -1.0948e+00 +1.2031e-01 -2.5269e+00 -8.5907e-01 -1.3373e+00 -1.8633e+00 -1.0515e+00 -2.1050e+00 -1.8560e+00 -1.3860e+00 +7.9048e-01
3729 +5.004977979e+00 +5.004977979e+00 +1.005004978e+03 +1.005004978e+03 +6.2130e-01 +2.1747e+00 -6.4463e-01 -2.0156e+00 -2.3901e+00 +6.4257e-02 -1.5383e+00 +3.2074e-01 -1.9013e+00 +4.3244e-01 -4.9712e-01 -2.0792e+00 -1.3088e+00 -4.3348e-01 -1.0654e+00 -1.6264e+00 -1.4341e+00 -1.5942e+00 -1.4025e+00 +9.4146e-01
3854 +3.861537855e+00 +3.861537855e+00 +1.003861538e+03 +1.003861538e+03 -7.7339e-01 +1.5790e+00 -4.3201e-01 +3.8505e-01 -2.4653e-01 +2.3929e+00 +1.3478e-01 +1.8539e-01 -3.2364e-01 +7.6955e-02 -9.4270e-01 -9.9029e-01 -1.9333e+00 -4.8816e-01 -1.0206e+00 -1.3234e+00 -1.0627e+00 -2.4439e+00 -6.1484e-01 +2.0383e+00
448046 +2.464788323e+00 +2.464788323e+00 +1.002464788e+03 +1.002464788e+03 +1.6303e+00 +2.1676e+00 -2.0245e+00 +7.7498e-02 -1.6623e+00 -4.9047e-01 -1.4127e+00 +4.9454e-01 -1.8160e+00 -2.2010e+00 -5.5780e-01 -2.4410e+00 -9.5555e-01 -2.4302e+00 -1.5179e+00 -1.3721e+00 -1.4644e+00 -2.2733e+00 -1.1635e+00 +1.6778e+00
1863852 +1.584878281e+00 +1.584878281e+00 +1.001584878e+03 +1.001584878e+03 +1.2536e+00 +2.8215e+00 -1.9496e+00 +8.7855e-01 -2.8445e+00 +5.4276e-01 -5.5906e-01 +1.5641e-01 -2.5589e+00 -2.0027e+00 -1.2630e-01 -1.6949e+00 -4.5294e-01 -2.5243e+00 -4.5317e-01 -1.3723e+00 -1.2868e+00 -2.3105e+00 -1.1281e+00 +2.3601e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.882876127e+05 +1.882876127e+05 +1.884959927e+05 +1.884959927e+05 -1.7687e+00 +3.6943e+00 +6.5267e-01 +4.2635e+00 +3.4877e+00 +3.0338e+00 +8.7578e-01 -4.9227e+00 +1.5786e+00 +3.7865e+00 -2.4145e+00 -3.5341e+00 +3.5839e+00 +8.2555e-01 +1.1905e+00 -1.4790e+00 +4.9117e+00 -1.4004e+00 +4.0354e+00 -3.4109e+00
2 +9.797360881e+04 +9.797360881e+04 +9.818198881e+04 +9.818198881e+04 -4.9452e-01 +3.2036e+00 +1.0668e+00 +4.9453e-02 -1.0331e+00 -2.9264e+00 +4.8927e+00 +4.9799e+00 -1.6248e+00 +3.2616e+00 +1.4072e+00 +2.5149e+00 -2.4455e+00 +4.7472e+00 +6.5630e-01 +3.0416e+00 +6.0056e-01 +2.2239e+00 +1.8767e+00 +1.3656e+00
