% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
15 +1.557124472e+03 +1.557124472e+03 +1.592474472e+03 +1.592474472e+03 +3.6203e-01 +2.1048e-01 +2.7031e+00 +6.6653e+00 +2.8846e+00 -2.1412e+00 +3.3148e+00 +4.3318e+00 -4.4890e-01 +5.0630e+00 +5.4352e+00 -3.7307e+00 -3.0844e+00 -1.9581e+00 -3.2062e+00 -5.5583e-01 +2.2556e+00 -4.4236e+00 +5.2506e+00 +2.7683e+00
53 +5.119228586e+02 +5.119228586e+02 +5.472728586e+02 +5.472728586e+02 +7.5404e-01 -3.4192e+00 -1.8797e+00 +4.7897e+00 +2.0266e+00 -1.7982e+00 +4.1476e+00 +3.4819e+00 +9.3990e-01 +3.4141e+00 +5.9089e+00 -6.3198e+00 +1.5343e+00 +5.6683e+00 -6.0016e+00 +3.2781e-02 -8.0527e-01 -2.6674e+00 +1.9626e+00 +1.1684e+00
104 +2.612660783e+02 +2.612660783e+02 +2.966160783e+02 +2.966160783e+02 -1.0292e-01 -5.5117e+00 +1.6584e-01 +6.3287e+00 -1.5652e+00 +3.6520e-01 +1.3285e+00 +2.2542e+00 +1.0754e+00 -1.5105e+00 +4.4934e+00 -2.3348e+00 +3.0752e+00 +5.0344e+00 -2.0875e+00 +2.2145e+00 +4.5336e+00 -2.7501e+00 +1.8212e+00 +3.3653e+00
246 +2.135791429e+02 +2.135791429e+02 +2.489291429e+02 +2.489291429e+02 +2.6286e-01 -2.6555e+00 +3.3110e+00 +5.7355e+00 -2.4974e+00 +6.6561e-01 +1.0119e+00 +2.9456e+00 +3.3795e-01 -1.9333e+00 +4.9196e-01 -3.2249e-01 +3.6153e-01 +1.5981e+00 -3.0385e+00 +8.9178e-01 +6.8270e+00 +3.2893e+00 +4.6689e+00 +3.1153e+00
265 +1.105958066e+02 +1.105958066e+02 +1.459458066e+02 +1.459458066e+02 -1.0743e+00 -7.2101e-01 +3.4162e+00 +4.2563e+00 -2.2841e+00 +9.7753e-01 +4.2724e+00 +2.2880e+00 +1.3644e+00 +1.9160e-01 +2.7949e+00 -1.6058e+00 +2.3423e+00 +1.5769e+00 -5.4124e+00 +1.0528e+00 +4.3018e+00 +2.7328e+00 +1.4547e+00 +2.6874e+00
401 +9.980838273e+01 +9.980838273e+01 +1.351583827e+02 +1.351583827e+02 -3.5786e-01 +5.8592e-01 +4.1547e+00 +3.0792e+00 -2.5353e+00 -3.4658e-01 +2.6845e+00 +2.0571e+00 +2.3581e+00 -1.5902e+00 +7.3193e-01 -1.8298e+00 +1.6039e+00 +2.7982e+00 -4.9926e+00 +2.6353e+00 +1.6964e+00 +2.9940e-01 +3.4603e+00 +2.7383e+00
484 +3.571203194e+01 +3.571203194e+01 +7.106203194e+01 +7.106203194e+01 -8.2837e-01 -1.0581e-01 +3.9379e+00 +3.6151e+00 -1.9318e+00 +6.6369e-01 +2.4470e+00 +2.3510e+00 +1.6018e+00 -1.0053e+00 +1.3280e+00 -1.4461e+00 +2.5338e+00 +2.8445e+00 -2.6747e+00 +3.1405e+00 +3.1671e+00 +4.5279e-01 +3.9159e+00 +1.8205e+00
694 +2.068312173e+01 +2.068312173e+01 +5.603312173e+01 +5.603312173e+01 +7.3591e-01 +5.9417e-01 +4.2607e+00 +2.1781e+00 -2.2687e+00 -6.8182e-01 +2.1339e+00 +1.7932e+00 +4.6412e-01 -2.4501e+00 +1.3939e+00 -1.5548e+00 +2.9581e+00 +2.3732e+00 -1.5384e+00 +3.5923e+00 +3.8085e+00 +1.0641e+00 +3.4924e+00 +2.6475e+00
749 +1.183323669e+01 +1.183323669e+01 +4.718323669e+01 +4.718323669e+01 +1.4468e+00 +1.1380e+00 +4.0135e+00 +2.1037e+00 -2.2993e+00 -9.8829e-01 +1.6014e+00 +1.3171e+00 +6.3931e-01 -1.7678e+00 +6.7279e-01 -1.7541e+00 +2.4288e+00 +2.6746e+00 -1.4202e+00 +3.4505e+00 +3.2274e+00 +1.0883e+00 +3.2542e+00 +2.7146e+00
980 +9.545515538e+00 +9.545515538e+00 +4.489551554e+01 +4.489551554e+01 +6.4444e-01 +7.4047e-01 +4.3223e+00 +2.6707e+00 -2.5895e+00 -1.1293e+00 +1.3643e+00 +1.4952e+00 +1.5582e+00 -2.1043e+00 +3.3205e-01 -1.5335e+00 +1.7054e+00 +3.5370e+00 -1.5430e+00 +2.4733e+00 +3.2995e+00 +1.6526e+00 +3.2031e+00 +2.5297e+00
4614 +6.274986723e+00 +6.274986723e+00 +4.162498672e+01 +4.162498672e+01 +1.5036e+00 +2.0151e+00 +4.9960e+00 +1.8743e-01 -5.4356e-01 -5.9805e-01 +1.8489e+00 +2.0702e+00 +8.6717e-02 -2.2635e+00 -8.2524e-01 -8.4390e-01 +1.4331e+00 +4.0572e+00 -3.4999e-01 +3.6636e+00 +3.1220e+00 +1.3832e+00 +5.1998e+00 +2.6975e+00
20656 +3.941835780e+00 +3.941835780e+00 +3.929183578e+01 +3.929183578e+01 +1.5928e+00 +8.8900e-01 +2.6224e+00 +1.6951e+00 -1.0558e+00 -1.5642e+00 +2.8512e+00 +9.5778e-01 +9.5307e-01 -5.8610e-01 -1.4524e+00 -3.3708e+00 +3.8028e+00 +3.6352e+00 -1.7007e+00 +2.7641e+00 +1.8075e+00 +1.9531e+00 +3.4896e+00 +2.0864e+00
115566 +2.510448008e+00 +2.510448008e+00 +3.786044801e+01 +3.786044801e+01 +1.8847e+00 +5.9037e-01 +3.6282e+00 +2.9522e-01 -2.0174e+00 -1.2023e+00 +3.1066e+00 +1.5980e+00 +8.1567e-01 -2.5053e+00 +3.2861e-01 -2.5005e+00 +2.3422e+00 +3.8358e+00 -6.1449e-01 +3.2267e+00 +3.1043e+00 +1.3771e+00 +3.4179e+00 +3.3933e+00
283300 +1.571098016e+00 +1.571098016e+00 +3.692109802e+01 +3.692109802e+01 +1.7555e+00 +2.0196e+00 +4.4232e+00 +9.7815e-01 -1.4129e+00 -1.6081e+00 +2.0729e+00 +9.3219e-01 +7.8440e-01 -1.6418e+00 -5.5410e-01 -1.6082e+00 +2.9060e+00 +3.4144e+00 -4.6413e-01 +4.3584e+00 +2.8886e+00 +1.7858e+00 +4.1697e+00 +1.8716e+00
833551 +9.872585854e-01 +9.872585854e-01 +3.633725859e+01 +3.633725859e+01 +1.5062e+00 +1.6579e+00 +4.0507e+00 +1.5413e+00 -1.2268e+00 -1.1746e+00 +2.2306e+00 +1.0598e+00 +8.8409e-01 -1.2451e+00 -7.1043e-01 -1.9671e+00 +3.2230e+00 +3.6768e+00 -1.0934e+00 +3.7828e+00 +2.3214e+00 +1.5848e+00 +4.0400e+00 +1.7016e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.425603310e+03 +1.425603310e+03 +1.429423310e+03 +1.429423310e+03 +1.8386e+00 -1.3337e+00 +3.0922e+00 -2.4683e+00 +3.5349e+00 +4.4465e-01 -9.6123e-01 +1.3953e+00 +7.6717e-02 +2.1499e+00 +6.5452e-01 -1.3017e-01 +2.6611e+00 +9.1961e-01 -3.2408e+00 -2.4419e+00 +3.7978e-01 -3.4098e-01 -1.8246e+00 -8.0292e-01
5 +5.913722521e+02 +5.913722521e+02 +5.951922521e+02 +5.951922521e+02 -7.5961e-01 -1.7938e+00 +1.8481e+00 -4.5056e+00 +3.0752e+00 +2.6621e+00 -6.7405e-01 +3.9288e+00 -6.0765e-01 +1.0875e+00 +1.4357e+00 +1.3298e+00 -1.5438e+00 -2.1838e+00 -1.2144e+00 -2.0159e+00 -3.1995e+00 +2.2995e+00 +2.5445e+00 -2.2628e+00
33 +3.627218776e+02 +3.627218776e+02 +3.665418776e+02 +3.665418776e+02 -1.2646e+00 -4.4750e-01 +1.4665e+00 -4.7929e+00 +1.5558e+00 +3.6865e+00 +3.6213e+00 +5.6320e-01 -1.3177e+00 +1.1744e+00 -1.2499e+00 +5.7808e-01 +2.1675e+00 -5.9307e-01 -8.6868e-01 +1.6267e+00 -3.2078e+00 +1.5661e+00 +2.8985e+00 -5.9077e-01
121 +1.803851330e+02 +1.803851330e+02 +1.842051330e+02 +1.842051330e+02 +2.3495e+00 +8.0216e-02 +2.1379e+00 -2.8858e+00 +2.6869e+00 +1.6948e+00 +4.2101e+00 -1.9054e-01 -3.4534e+00 -4.0171e-01 +1.7820e+00 -6.8863e-01 -8.0138e-01 -1.1671e+00 -1.2641e+00 +1.2542e+00 -9.9176e-01 +4.8451e+00 +1.5873e+00 +1.3494e+00
145 +9.720492029e+01 +9.720492029e+01 +1.010249203e+02 +1.010249203e+02 +2.5519e+00 -3.3231e-01 +2.0011e+00 -2.2488e+00 +1.2421e+00 +8.7733e-01 +2.9182e+00 -1.1359e+00 -1.5116e+00 -1.3465e-01 +1.3512e+00 +4.0894e-01 -3.5739e-01 -1.0449e+00 -8.3157e-01 -3.9519e-01 -1.4873e+00 +3.7342e+00 +6.0188e-01 +2.6806e+00
