% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
338 +1.518078010e+01 +1.518078010e+01 -4.329921990e+01 -4.329921990e+01 +1.4696e+00 +1.4880e+00 +2.0471e+00 -3.7442e+00 -1.1324e-01 +5.9307e-01 +5.8899e-01 -6.5817e-01 -2.4960e+00 +3.7541e+00 +2.0828e+00 -3.6477e-01 +1.4006e-01 +1.6463e-01 -5.3872e-01 -5.2818e-01 -5.5893e-03 +2.3825e+00 +7.3739e-01 -1.2104e+00
606 +8.445258393e+00 +8.445258393e+00 -5.003474161e+01 -5.003474161e+01 -1.0909e+00 +7.8775e-01 -7.8625e-02 -4.9639e-01 +8.8972e-01 +2.8056e+00 -2.5057e+00 -7.7283e-01 +2.2732e-01 +6.5525e-01 +3.4682e-01 +2.1672e-01 -2.8039e+00 +1.6269e+00 -9.1968e-01 -1.1051e+00 -2.6661e+00 -1.6288e-01 -7.7016e-02 -1.3494e-01
4390 +6.235420037e+00 +6.235420037e+00 -5.224457996e+01 -5.224457996e+01 -3.5560e-01 -2.8349e-01 -6.9083e-01 -4.8774e-01 +1.3072e+00 +2.3407e-01 +2.8687e-01 -2.4929e+00 -3.1643e-01 +1.2828e+00 +3.1868e-01 -8.0293e-01 -3.2106e-01 -1.8919e+00 -4.4218e-01 +1.2656e+00 +7.0240e-01 -4.0320e-01 -4.1509e-01 -5.1060e-01
83752 +3.966298910e+00 +3.966298910e+00 -5.451370109e+01 -5.451370109e+01 -6.8277e-01 -3.2005e-01 -1.5881e-01 -4.9956e-01 +8.7858e-01 +1.3512e+00 +8.4090e-02 +2.9374e-01 -1.5009e+00 +9.1023e-01 +2.2264e-01 +1.7125e+00 +3.2816e-01 +3.2428e-01 -1.6135e-01 -6.5633e-01 +5.7891e-01 -5.1341e-01 -2.6307e-01 +6.6475e-01
171401 +2.468775295e+00 +2.468775295e+00 -5.601122471e+01 -5.601122471e+01 -1.6086e-04 +1.0160e+00 -6.5101e-01 -2.2572e-01 +2.6478e+00 +1.2400e+00 -2.1788e-02 -6.1876e-01 +6.2355e-01 +1.0097e+00 +5.7739e-01 -3.2040e+00 -1.0192e+00 -2.4998e-01 -3.2991e-01 +7.7086e-01 +9.1480e-01 +1.3195e+00 -8.9618e-01 -1.4951e+00
265601 +1.539327217e+00 +1.539327217e+00 -5.694067278e+01 -5.694067278e+01 -6.8277e-01 -3.1774e-01 -1.6384e-01 -4.9721e-01 +8.7612e-01 +1.3541e+00 +8.4090e-02 +2.9374e-01 -1.4985e+00 +9.1098e-01 +2.2873e-01 +1.7111e+00 +3.2513e-01 +3.2428e-01 -1.6135e-01 -6.5544e-01 +5.7891e-01 -5.1261e-01 -2.6229e-01 +6.6475e-01
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.363278889e+01 +8.363278889e+01 -5.294472111e+02 -5.294472111e+02 +3.8536e+00 +2.3155e+00 +2.1476e-01 -7.1226e-01 -4.4262e+00 -4.3766e+00 +8.6915e-01 +2.8143e+00 +3.5745e+00 +3.8169e+00 +3.3915e+00 +4.6281e+00 +4.6113e+00 +3.7766e-01 -3.5244e+00 +3.6787e+00 -4.6491e-01 -1.5451e-02 -2.4601e+00 -1.1417e-01
3 +5.343679498e+01 +5.343679498e+01 -5.596432050e+02 -5.596432050e+02 +3.4877e+00 -5.2190e-02 -3.5831e+00 -4.4306e+00 +9.1537e-01 +1.0509e+00 +3.1738e+00 +2.8595e+00 +1.5596e+00 +2.1025e+00 +8.6333e-01 +3.3477e+00 -4.8340e-01 -5.2398e-01 -1.5672e+00 -1.8364e+00 -2.4044e+00 +1.9096e+00 -2.8798e+00 +4.4400e+00
8 +3.316345377e+01 +3.316345377e+01 -5.799165462e+02 -5.799165462e+02 +2.5331e+00 +1.5110e+00 -5.8277e-01 -1.1775e+00 +1.1635e+00 +3.0823e+00 -5.8928e-01 +1.0220e+00 +2.9285e+00 -3.6112e+00 +3.7554e+00 -2.9686e+00 -3.3319e+00 -2.9442e+00 +1.3076e+00 +2.4852e+00 -3.7594e+00 -1.8752e-01 +2.5190e+00 -2.1017e+00
16 +1.633375481e+01 +1.633375481e+01 -5.967462452e+02 -5.967462452e+02 +2.5184e+00 +2.4228e+00 +1.3915e+00 +9.6031e-01 -4.1246e+00 +1.6198e+00 -4.6006e-01 -1.1600e+00 -1.2374e+00 +3.1051e+00 +3.0122e+00 -3.9338e-01 +1.0332e+00 +1.9192e+00 +2.0604e+00 +2.5572e-01 -2.8108e+00 +3.6381e+00 +5.9759e-01 +1.6522e+00
