% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
86603 +3.965054578e+00 +3.965054578e+00 +1.277950546e+02 +1.277950546e+02 +5.2046e-01 -4.5494e-01 -2.6972e-01 +2.4727e-01 +8.3634e-02 -5.0719e-01 -3.7048e-01 +1.4853e-01 +4.2192e-01 +4.8084e-01 -4.2234e-01 +9.1464e-01 +4.8228e-01 -6.0661e-01 -5.9395e-01 -1.1575e-01 +8.4265e-02 -1.4311e-01 +4.1194e-01 +6.4722e-01
92634 +2.499536579e+00 +2.499536579e+00 +1.263295366e+02 +1.263295366e+02 +4.6984e-01 -4.7627e-01 -3.5973e-01 +1.2573e-01 +5.9823e-02 -4.1826e-01 -4.0997e-01 +1.3780e-01 +4.5315e-01 +7.1052e-01 -1.9555e-01 +7.5252e-01 +6.7311e-01 -4.8859e-01 -5.8473e-01 -1.7458e-01 +3.7147e-01 -2.7799e-01 +3.5855e-01 +6.0044e-01
98626 +1.564232959e+00 +1.564232959e+00 +1.253942330e+02 +1.253942330e+02 +3.8405e-01 -5.0254e-01 -4.2944e-01 +8.2970e-03 +1.3506e-01 -3.3691e-01 -4.9822e-01 +9.8164e-02 +3.8777e-01 +7.8198e-01 -7.9496e-02 +6.0427e-01 +7.4562e-01 -3.6871e-01 -6.2823e-01 -1.6200e-01 +5.7686e-01 -3.2610e-01 +2.9126e-01 +5.0481e-01
101506 +9.985604559e-01 +9.985604559e-01 +1.248285605e+02 +1.248285605e+02 +3.1483e-01 -5.2581e-01 -4.8286e-01 -3.9712e-02 +2.2508e-01 -2.8527e-01 -5.7694e-01 +8.2576e-02 +3.3119e-01 +8.0448e-01 -5.4108e-02 +5.0922e-01 +7.2260e-01 -2.7742e-01 -6.7185e-01 -1.4972e-01 +7.0072e-01 -3.1524e-01 +2.5717e-01 +4.3232e-01
105421 +6.246082283e-01 +6.246082283e-01 +1.244546082e+02 +1.244546082e+02 +2.7289e-01 -5.3089e-01 -5.2354e-01 -5.5358e-02 +3.1114e-01 -2.4931e-01 -6.2350e-01 +4.2308e-02 +2.7318e-01 +8.4132e-01 -6.4423e-02 +4.0760e-01 +6.6509e-01 -2.1682e-01 -6.9240e-01 -1.7638e-01 +7.7642e-01 -2.8324e-01 +2.3756e-01 +3.6369e-01
107444 +3.952304624e-01 +3.952304624e-01 +1.242252305e+02 +1.242252305e+02 +2.2715e-01 -5.2522e-01 -5.6415e-01 -6.3925e-02 +3.9096e-01 -2.0130e-01 -6.6290e-01 +1.7191e-02 +2.1913e-01 +8.9104e-01 -9.2249e-02 +2.9644e-01 +6.0048e-01 -1.5507e-01 -7.0754e-01 -2.2969e-01 +8.5458e-01 -2.5140e-01 +2.3057e-01 +2.8784e-01
108647 +2.473275841e-01 +2.473275841e-01 +1.240773276e+02 +1.240773276e+02 +2.1218e-01 -5.2192e-01 -5.8767e-01 -5.8541e-02 +4.4472e-01 -1.7566e-01 -6.8214e-01 -1.0040e-02 +1.7884e-01 +9.1977e-01 -1.0755e-01 +2.2903e-01 +5.5314e-01 -1.2490e-01 -7.1384e-01 -2.7149e-01 +8.9663e-01 -2.2640e-01 +2.2602e-01 +2.4350e-01
110425 +1.547952300e-01 +1.547952300e-01 +1.239847952e+02 +1.239847952e+02 +1.9140e-01 -5.0947e-01 -6.1516e-01 -4.9175e-02 +5.0076e-01 -1.4975e-01 -6.9653e-01 -5.0108e-02 +1.3269e-01 +9.6279e-01 -1.3693e-01 +1.4391e-01 +4.9824e-01 -9.8941e-02 -7.1169e-01 -3.2927e-01 +9.2508e-01 -1.9554e-01 +2.3195e-01 +1.9497e-01
111852 +9.181442571e-02 +9.181442571e-02 +1.239218144e+02 +1.239218144e+02 +1.7282e-01 -4.9390e-01 -6.3920e-01 -3.7564e-02 +5.5660e-01 -1.2561e-01 -7.0831e-01 -7.5697e-02 +8.7388e-02 +1.0016e+00 -1.7330e-01 +6.9167e-02 +4.3888e-01 -6.9688e-02 -7.0910e-01 -3.9078e-01 +9.5888e-01 -1.6781e-01 +2.3350e-01 +1.4293e-01
112709 +6.037544544e-02 +6.037544544e-02 +1.238903754e+02 +1.238903754e+02 +1.6492e-01 -4.8076e-01 -6.4565e-01 -2.9369e-02 +5.8242e-01 -1.1189e-01 -7.1469e-01 -8.9430e-02 +6.5220e-02 +1.0230e+00 -1.9324e-01 +2.8125e-02 +4.0891e-01 -5.7445e-02 -7.1079e-01 -4.2462e-01 +9.7693e-01 -1.4967e-01 +2.3445e-01 +1.0408e-01
