% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
103686 +1.198794188e-04 +1.198794188e-04 +1.238301199e+02 +1.238301199e+02 +1.3970e-01 -4.3829e-01 -6.8248e-01 -1.9086e-03 +6.7667e-01 -7.1355e-02 -7.2668e-01 -1.4968e-01 -1.5502e-02 +1.1088e+00 -2.6942e-01 -1.1410e-01 +3.0244e-01 -1.7235e-02 -7.0283e-01 -5.5061e-01 +1.0175e+00 -9.7917e-02 +2.3694e-01 +7.5833e-03
104408 +9.733353583e-05 +9.733353583e-05 +1.238300973e+02 +1.238300973e+02 +1.3973e-01 -4.3808e-01 -6.8260e-01 -1.7849e-03 +6.7703e-01 -7.1371e-02 -7.2673e-01 -1.4991e-01 -1.5651e-02 +1.1092e+00 -2.6974e-01 -1.1494e-01 +3.0207e-01 -1.7050e-02 -7.0253e-01 -5.5106e-01 +1.0174e+00 -9.7786e-02 +2.3674e-01 +7.0579e-03
105067 +5.576216839e-05 +5.576216839e-05 +1.238300558e+02 +1.238300558e+02 +1.4001e-01 -4.3882e-01 -6.8199e-01 -2.1932e-03 +6.7559e-01 -7.1791e-02 -7.2643e-01 -1.4894e-01 -1.4681e-02 +1.1080e+00 -2.6876e-01 -1.1269e-01 +3.0358e-01 -1.7499e-02 -7.0282e-01 -5.4906e-01 +1.0169e+00 -9.8424e-02 +2.3672e-01 +8.5047e-03
105553 +3.612701815e-05 +3.612701815e-05 +1.238300361e+02 +1.238300361e+02 +1.3941e-01 -4.3778e-01 -6.8294e-01 -1.5989e-03 +6.7763e-01 -7.0928e-02 -7.2667e-01 -1.5019e-01 -1.6432e-02 +1.1097e+00 -2.7019e-01 -1.1571e-01 +3.0150e-01 -1.6790e-02 -7.0273e-01 -5.5172e-01 +1.0179e+00 -9.7239e-02 +2.3695e-01 +6.4938e-03
106869 +2.491148054e-05 +2.491148054e-05 +1.238300249e+02 +1.238300249e+02 +1.3967e-01 -4.3809e-01 -6.8258e-01 -1.7712e-03 +6.7713e-01 -7.1203e-02 -7.2667e-01 -1.4995e-01 -1.6051e-02 +1.1093e+00 -2.6993e-01 -1.1497e-01 +3.0197e-01 -1.6831e-02 -7.0268e-01 -5.5112e-01 +1.0176e+00 -9.7562e-02 +2.3690e-01 +7.0076e-03
107224 +1.146450454e-05 +1.146450454e-05 +1.238300115e+02 +1.238300115e+02 +1.3972e-01 -4.3809e-01 -6.8270e-01 -1.7915e-03 +6.7698e-01 -7.1255e-02 -7.2666e-01 -1.4993e-01 -1.5930e-02 +1.1091e+00 -2.6968e-01 -1.1488e-01 +3.0214e-01 -1.6956e-02 -7.0261e-01 -5.5090e-01 +1.0175e+00 -9.7638e-02 +2.3683e-01 +7.1189e-03
107484 +8.881954130e-06 +8.881954130e-06 +1.238300089e+02 +1.238300089e+02 +1.3959e-01 -4.3789e-01 -6.8287e-01 -1.6927e-03 +6.7745e-01 -7.1025e-02 -7.2670e-01 -1.5013e-01 -1.6346e-02 +1.1096e+00 -2.7014e-01 -1.1558e-01 +3.0155e-01 -1.6759e-02 -7.0260e-01 -5.5157e-01 +1.0178e+00 -9.7356e-02 +2.3686e-01 +6.5115e-03
108879 +6.272215188e-06 +6.272215188e-06 +1.238300063e+02 +1.238300063e+02 +1.3959e-01 -4.3792e-01 -6.8279e-01 -1.7109e-03 +6.7736e-01 -7.1041e-02 -7.2670e-01 -1.5006e-01 -1.6276e-02 +1.1096e+00 -2.7006e-01 -1.1548e-01 +3.0171e-01 -1.6731e-02 -7.0256e-01 -5.5143e-01 +1.0177e+00 -9.7490e-02 +2.3691e-01 +6.6904e-03
109207 +3.827167191e-06 +3.827167191e-06 +1.238300038e+02 +1.238300038e+02 +1.3958e-01 -4.3788e-01 -6.8282e-01 -1.6814e-03 +6.7750e-01 -7.0991e-02 -7.2668e-01 -1.5018e-01 -1.6376e-02 +1.1097e+00 -2.7017e-01 -1.1559e-01 +3.0158e-01 -1.6717e-02 -7.0256e-01 -5.5160e-01 +1.0177e+00 -9.7369e-02 +2.3692e-01 +6.5423e-03
110449 +1.922947561e-06 +1.922947561e-06 +1.238300019e+02 +1.238300019e+02 +1.3958e-01 -4.3793e-01 -6.8284e-01 -1.7241e-03 +6.7744e-01 -7.1002e-02 -7.2673e-01 -1.5014e-01 -1.6317e-02 +1.1097e+00 -2.7010e-01 -1.1555e-01 +3.0168e-01 -1.6781e-02 -7.0258e-01 -5.5150e-01 +1.0177e+00 -9.7393e-02 +2.3690e-01 +6.6144e-03
111430 +1.430321134e-06 +1.430321134e-06 +1.238300014e+02 +1.238300014e+02 +1.3970e-01 -4.3812e-01 -6.8266e-01 -1.8547e-03 +6.7700e-01 -7.1207e-02 -7.2668e-01 -1.4986e-01 -1.5947e-02 +1.1093e+00 -2.6976e-01 -1.1486e-01 +3.0215e-01 -1.6922e-02 -7.0260e-01 -5.5086e-01 +1.0175e+00 -9.7643e-02 +2.3686e-01 +7.0806e-03
111797 +8.851815778e-07 +8.851815778e-07 +1.238300009e+02 +1.238300009e+02 +1.3962e-01 -4.3799e-01 -6.8276e-01 -1.7809e-03 +6.7726e-01 -7.1085e-02 -7.2670e-01 -1.5005e-01 -1.6187e-02 +1.1095e+00 -2.6995e-01 -1.1528e-01 +3.0187e-01 -1.6820e-02 -7.0257e-01 -5.5126e-01 +1.0176e+00 -9.7497e-02 +2.3689e-01 +6.8188e-03
112595 +6.113709929e-07 +6.113709929e-07 +1.238300006e+02 +1.238300006e+02 +1.3962e-01 -4.3798e-01 -6.8280e-01 -1.7522e-03 +6.7731e-01 -7.1093e-02 -7.2672e-01 -1.5008e-01 -1.6221e-02 +1.1096e+00 -2.7000e-01 -1.1538e-01 +3.0181e-01 -1.6811e-02 -7.0257e-01 -5.5134e-01 +1.0176e+00 -9.7466e-02 +2.3688e-01 +6.7456e-03
113058 +3.799494408e-07 +3.799494408e-07 +1.238300004e+02 +1.238300004e+02 +1.3962e-01 -4.3800e-01 -6.8277e-01 -1.7936e-03 +6.7723e-01 -7.1108e-02 -7.2669e-01 -1.5003e-01 -1.6154e-02 +1.1095e+00 -2.6994e-01 -1.1526e-01 +3.0188e-01 -1.6817e-02 -7.0256e-01 -5.5121e-01 +1.0176e+00 -9.7511e-02 +2.3690e-01 +6.8315e-03
113704 +2.371212418e-07 +2.371212418e-07 +1.238300002e+02 +1.238300002e+02 +1.3960e-01 -4.3795e-01 -6.8280e-01 -1.7394e-03 +6.7733e-01 -7.1055e-02 -7.2671e-01 -1.5011e-01 -1.6250e-02 +1.1096e+00 -2.7003e-01 -1.1543e-01 +3.0175e-01 -1.6774e-02 -7.0255e-01 -5.5137e-01 +1.0176e+00 -9.7434e-02 +2.3689e-01 +6.7014e-03
